summonerName,server,id,puuid,lastGameId,beginningDayRank,currentRank,totalGames,winrate
wutang sksh sksh,EUW,1mqMf3hlhFjPfinJUxbwaJ180vS1ATowK5MAvS3sAysCnoc,pZZKLzdd9xxbVn_g6B_ic6zd6hXLTHz5MjDeNKa24sQJAceRlRLdvo6g6awrjCd7I97vWIARBK9LCA,EUW1_6508200468,GOLD IV 90 LP,MASTER I 111 LP,229,53.7
Kyoma,EUW,kEd0Zt90xTKb_jdnipvtTvWehyEcHxM_LKdtcWZ5pkXqGio,bnY9uwIvhb4xJJx1ztQUiVA5BYHqR50y1-HDhdYux0pNThjLQ6KsPXMzPERId1pgeolpQ7WenKVMug,EUW1_6508306441,PLATINUM IV 62 LP,MASTER I 40 LP,466,51.1
griffith tft,EUW,v_sO85rfmyvRuU8WfW42aQteMjma-q_9i_WlwCKFue6MYQI,BIRCLDUAuUxgEE9olbyHpi6sUugSpisxyfp7mbjn0IvfrDkpVl4UUZC1wipojLxKo1mJAZVZRHLXxw,EUW1_6477026887,SILVER IV 97 LP,DIAMOND III 43 LP,123,57.7
goodbye eri,EUW,ZxfBnnsjktjvenY8sU1U8vH85RiioLvmgV4Co5A3mxBnqdRB,wBavfle0KiHbfnWaP-PUU_cxDEjbkM_eD5D5soWRphIMClH9uCgqs-PXXB__1X-RclX7Km5HJsuZbw,EUW1_6507401279,SILVER I 26 LP,MASTER I 0 LP,113,61.1
Niromane,EUW,HPJc1RPjZIVL0n05LQ0zb1K8zDl8L4ueOuH4vyb2Td3AEas,59k-Hr1gM5v1Kmge-AlyE3AkJoXjPHk_5kMbMBC8OqxFgyqBoSyzJz6V9C8Z4ZnyEuHC6L5_LIx6RA,EUW1_6508091444,SILVER III 47 LP,DIAMOND IV 42 LP,215,52.1
Younbar,EUW,9ll3NGBgPqEjbWqub6mR6lY08Kdw44BYiNDAbiFIeeU3Ws0,GQHFrLkVweYW2cXBg4X3x8uq-CrqAVerq1ivN4omaO8YswE_zNKQke8MtMZmztosrHjan_1DV4v3Hw,EUW1_6508083659,PLATINUM III 39 LP,PLATINUM IV 26 LP,212,49.5
Mdrr chinois,EUW,YkM1zclRwP5abkLFl5qI5n-AnKhNgNID2SNGOgRdPHo4dHE,tRrBTdcB2771feYXyO2KrAgxE4UAo6qKb7jiBfazBVlfGisOvnFtkIhk2Ztpn6zeocN89bCVJMuGfw,EUW1_6490595963,GOLD IV 1 LP,PLATINUM II 0 LP,141,49.6
renand57,EUW,rY-J2r2S_atzfnD1ZIYX9UVHfWDVuWvsWSpSixn4VbS6oYXk,iJzIX7xk8zM2xgQeth75aqnqdYSjKAhTk9Np3xeGuprG03pD4IcGjC-FVH0dpnxzk2QPDk1PpBJxIA,EUW1_6487385040,BRONZE I 27 LP,PLATINUM III 0 LP,163,54.6
Faez,EUW,Eoo1ahJLc7UGq-fR5_TsvHgZe8HMWmSEgYCwXP3oSmj_gYU,5KNbcEGff6cDlpSSKe8NHKn_hljKZiQFssXG7b6ZX6jDR2gWK80U7WAmV6yxWHs-rwMEIgBLQc_gPg,EUW1_6497997927,BRONZE I 0 LP,PLATINUM II 0 LP,166,53.6
Hamzz QLF,EUW,iBZgif_Om1KXnHbdbJZkjVN3JsbYedWlqaOJAKudE_v5z4s,oPMPPYl-UzFrcuE7oiOw1l-o4dK6Y8W9muZcwIe-SfXw6rKJEQ5aNABkI9RDuANnyyJKA9qu8ZRB7A,EUW1_6508532381,SILVER IV 46 LP,PLATINUM IV 0 LP,130,53.1
